2021-01-29 18:11:03.404 INFO  [main] c.b.dynamic.datasource.DynamicRoutingDataSource - 初始共加载 1 个数据源
2021-01-29 18:11:03.408 INFO  [main] c.b.dynamic.datasource.DynamicRoutingDataSource - 动态数据源-加载 db1 成功
2021-01-29 18:11:03.409 INFO  [main] c.b.dynamic.datasource.DynamicRoutingDataSource - 当前的默认数据源是单数据源，数据源名为 db1
2021-01-29 18:11:03.438 WARN  [main] c.b.m.e.spring.MybatisSqlSessionFactoryBean - Can't find class in '[com.ws.ldy.enums.*]' package. Please check your configuration.
2021-01-29 18:11:06.563 WARN  [main] c.baomidou.mybatisplus.core.toolkit.ReflectionKit - Warn: DefaultServiceImpl's superclass not ParameterizedType
2021-01-29 18:11:06.605 WARN  [main] c.baomidou.mybatisplus.core.toolkit.ReflectionKit - Warn: XjDataBaseServiceImpl's superclass not ParameterizedType
2021-01-29 18:11:06.610 WARN  [main] o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'xjDataBaseController': Unsatisfied dependency expressed through field 'baseService'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'xjDataBaseServiceImpl': Injection of autowired dependencies failed; nested exception is java.lang.IllegalArgumentException: Could not resolve placeholder '.version' in value "jdbc:mysql://127.0.0.1/spring-boot-plus2?useUnicode=true&characterEncoding=utf-8&useTimezone=true&serverTimezone=GMT%2B8&rewriteBatchedStatements=true"
2021-01-29 18:11:06.611 INFO  [main] c.b.dynamic.datasource.DynamicRoutingDataSource - closing dynamicDatasource  ing....
2021-01-29 18:11:06.616 INFO  [main] com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2021-01-29 18:11:06.617 INFO  [main] com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2021-01-29 18:11:06.622 INFO  [main] org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-01-29 18:11:06.640 INFO  [main] o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-01-29 18:16:24.507 INFO  [main] com.ws.ldy.XjTestServer - Starting XjTestServer on wangsong with PID 10632 (F:\workspace\code\git2020-12\spring-boot-plus2\xj-server\xj-test-server\target\classes started by ws in F:\workspace\code\git2020-12\spring-boot-plus2)
2021-01-29 18:16:24.511 INFO  [main] com.ws.ldy.XjTestServer - The following profiles are active: @profiles.active@
2021-01-29 18:16:27.015 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.ws.ldy, com.ws.ldy.modules.third.websocket.config]' package. Please check your configuration.
2021-01-29 18:16:27.242 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.baomidou.cloud.service.*.mapper*]' package. Please check your configuration.
2021-01-29 18:16:27.262 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'xjAstoryCategoryMapper' and 'com.ws.ldy.modules.yw.astory.mapper.XjAstoryCategoryMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:16:27.262 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'xjAstoryMapper' and 'com.ws.ldy.modules.yw.astory.mapper.XjAstoryMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:16:27.262 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'cpCategoryMapper' and 'com.ws.ldy.modules.yw.caipu.mapper.CpCategoryMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:16:27.262 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'cpInfoMapper' and 'com.ws.ldy.modules.yw.caipu.mapper.CpInfoMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:16:27.262 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'xjFileMapper' and 'com.ws.ldy.modules.yw.file.mapper.XjFileMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:16:27.262 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'file2Mapper' and 'com.ws.ldy.modules.yw.test.mapper.File2Mapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:16:27.263 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'adminAuthorityMapper' and 'com.ws.ldy.modules.sys.admin.mapper.AdminAuthorityMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:16:27.263 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'adminDictionaryMapper' and 'com.ws.ldy.modules.sys.admin.mapper.AdminDictionaryMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:16:27.263 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'adminMenuMapper' and 'com.ws.ldy.modules.sys.admin.mapper.AdminMenuMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:16:27.263 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'adminRoleAuthMapper' and 'com.ws.ldy.modules.sys.admin.mapper.AdminRoleAuthMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:16:27.263 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'adminRoleMapper' and 'com.ws.ldy.modules.sys.admin.mapper.AdminRoleMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:16:27.263 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'adminRoleMenuMapper' and 'com.ws.ldy.modules.sys.admin.mapper.AdminRoleMenuMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:16:27.263 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'adminRoleUserMapper' and 'com.ws.ldy.modules.sys.admin.mapper.AdminRoleUserMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:16:27.263 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'adminUserMapper' and 'com.ws.ldy.modules.sys.admin.mapper.AdminUserMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:16:27.263 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'defaultMapper' and 'com.ws.ldy.modules.sys.admin.mapper.DefaultMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:16:27.263 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'xjAdminDatasourceMapper' and 'com.ws.ldy.modules.sys.gc.mapper.XjAdminDatasourceMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:16:27.263 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'xjDataBaseMapper' and 'com.ws.ldy.modules.sys.gc.mapper.XjDataBaseMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:16:27.263 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'xjAdminBannerMapper' and 'com.ws.ldy.modules.sys.xj.mapper.XjAdminBannerMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:16:27.263 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'xjAdminBlacklistMapper' and 'com.ws.ldy.modules.sys.xj.mapper.XjAdminBlacklistMapper' mapperInterface. Bean already defined with the same name!
2021-01-29 18:16:27.263 WARN  [main] org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'xjAdminConfigMapper' and 'com.ws.ldy.modules.sys.xj.mapper.XjAdminConfigMapper' mapperInterface. Bean already defined with the same name!
